date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:19:38	22328/22328	---MCZ	200	added ('OK')	text/html	etag:W/%225738-E4Zbf3cVOVnRHjSrcghbaI3Zkds%22	https://shor.by/eTa0	C:/Users/XE/Desktop/NATA/shor.by/eTa0.html	(from )
23:19:38	509/509	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%223fc-wfIsxMMRoXb/BI/0JURx0blSf9o%22	https://shor.by/robots.txt		(from )
23:19:39	2100/2100	---M--	200	added ('OK')	image/png	etag:W/%22834-16c763b8587%22	https://shor.by/touch-icons/apple-touch-icon-iphone-60x60.png	C:/Users/XE/Desktop/NATA/shor.by/touch-icons/apple-touch-icon-iphone-60x60.png	(from https://shor.by/eTa0)
23:19:39	2548/2548	---M--	200	added ('OK')	image/png	etag:W/%229f4-16c763b8587%22	https://shor.by/touch-icons/apple-touch-icon-ipad-76x76.png	C:/Users/XE/Desktop/NATA/shor.by/touch-icons/apple-touch-icon-ipad-76x76.png	(from https://shor.by/eTa0)
23:19:39	4639/4639	---M--	200	added ('OK')	image/png	etag:W/%22121f-16c763b8587%22	https://shor.by/touch-icons/apple-touch-icon-iphone-retina-120x120.png	C:/Users/XE/Desktop/NATA/shor.by/touch-icons/apple-touch-icon-iphone-retina-120x120.png	(from https://shor.by/eTa0)
23:19:39	6033/6033	---M--	200	added ('OK')	image/png	etag:W/%221791-16c763b8587%22	https://shor.by/touch-icons/apple-touch-icon-ipad-retina-152x152.png	C:/Users/XE/Desktop/NATA/shor.by/touch-icons/apple-touch-icon-ipad-retina-152x152.png	(from https://shor.by/eTa0)
23:19:40	10083/10083	---M--	200	added ('OK')	text/css	etag:W/%222763-177196325e8%22	https://shor.by/css/main.css	C:/Users/XE/Desktop/NATA/shor.by/css/main.css	(from https://shor.by/eTa0)
23:19:41	196673/196673	---M--	200	added ('OK')	application/javascript	etag:W/%2230041-1747d06620e%22	https://shor.by/smartpage.js?dc02a640	C:/Users/XE/Desktop/NATA/shor.by/smartpage49ef.js	(from https://shor.by/eTa0)
23:19:41	246637/246637	---M--	200	added ('OK')	text/css	etag:W/%223c36d-1747d06620e%22	https://shor.by/css/shorby-page.css?dc02a640	C:/Users/XE/Desktop/NATA/shor.by/css/shorby-page49ef.css	(from https://shor.by/eTa0)
23:19:41	158/158	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Mar%202021%2018:19:41%20GMT	https://shor.by/IM4X	C:/Users/XE/Desktop/NATA/shor.by/IM4X.8.delayed	(from https://shor.by/eTa0)
23:19:41	106/106	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Mar%202021%2018:19:41%20GMT	https://shor.by/1RDd	C:/Users/XE/Desktop/NATA/shor.by/1RDd	(from https://shor.by/eTa0)
23:19:42	1444/1444	---MCZ	200	added ('OK')	text/html	etag:W/%225a4-KpIq7VR4wbqckPD4jqxWipNUxuI%22	https://shor.by/F9V2	C:/Users/XE/Desktop/NATA/shor.by/F9V2.html	(from https://shor.by/eTa0)
23:19:42	104/104	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Mar%202021%2018:19:42%20GMT	https://shor.by/Msak	C:/Users/XE/Desktop/NATA/shor.by/Msak	(from https://shor.by/eTa0)
23:19:42	1434/1434	---MCZ	200	added ('OK')	text/html	etag:W/%2259a-6rvDpI7TyvEyTHbhhkLaNPDFeR4%22	https://shor.by/GoLq	C:/Users/XE/Desktop/NATA/shor.by/GoLq.html	(from https://shor.by/eTa0)
